FID,osmid,y,x,street_cou,ref,highway
34374,847911196.000000000000000,31.200278099999998,121.528768400000004,3.000000000000000, , 
34375,847912522.000000000000000,31.199616899999999,121.533080699999999,3.000000000000000, , 
34376,847926300.000000000000000,31.213052800000000,121.576578200000000,3.000000000000000, , 
34377,847926302.000000000000000,31.208247900000000,121.565652499999999,3.000000000000000, ,motorway_junction
34378,847926303.000000000000000,31.208701800000000,121.567468000000005,3.000000000000000, , 
34379,847926318.000000000000000,31.208839300000001,121.568130600000003,3.000000000000000, , 
34380,847926327.000000000000000,31.216016499999999,121.568959100000001,3.000000000000000, , 
34381,847926346.000000000000000,31.207715000000000,121.564189999999996,3.000000000000000, ,motorway_junction
34382,847926355.000000000000000,31.215790699999999,121.569535000000002,3.000000000000000, , 
34383,847926359.000000000000000,31.217442100000000,121.568966599999996,3.000000000000000, , 
34384,847926369.000000000000000,31.215738600000002,121.569223399999998,3.000000000000000, ,motorway_junction
34385,847926377.000000000000000,31.209136600000001,121.566658300000000,3.000000000000000, , 
34386,847926378.000000000000000,31.208382199999999,121.565202600000006,3.000000000000000, , 
34387,847926393.000000000000000,31.213662599999999,121.570641899999998,3.000000000000000, , 
34388,847926397.000000000000000,31.216155000000001,121.569587200000001,3.000000000000000, , 
34389,847926475.000000000000000,31.213024200000000,121.575897299999994,3.000000000000000, , 
34390,847928672.000000000000000,31.210102400000000,121.571553300000005,3.000000000000000, , 
34391,847928677.000000000000000,31.209551800000000,121.569554699999998,3.000000000000000, , 
34392,847928681.000000000000000,31.208348999999998,121.570794100000001,3.000000000000000, , 
34393,847928704.000000000000000,31.208320199999999,121.571500400000005,3.000000000000000, , 
34394,847928707.000000000000000,31.210209599999999,121.571722100000002,3.000000000000000, , 
34395,847928743.000000000000000,31.212350300000001,121.574560300000002,3.000000000000000, , 
34396,847928782.000000000000000,31.210301300000001,121.570455100000004,3.000000000000000, , 
34397,847928808.000000000000000,31.210895000000001,121.570364799999993,3.000000000000000, , 
34398,847928947.000000000000000,31.208133300000000,121.564310699999993,3.000000000000000, , 
34399,847928948.000000000000000,31.211327799999999,121.569099100000003,3.000000000000000, , 
34400,847928955.000000000000000,31.209881800000002,121.568154899999996,3.000000000000000, , 
34401,847938176.000000000000000,31.214688500000001,121.569499300000004,3.000000000000000, ,motorway_junction
34402,847959602.000000000000000,31.240396700000002,121.561663199999998,3.000000000000000, , 
34403,847959677.000000000000000,31.238718100000000,121.562285099999997,3.000000000000000, , 
34404,847959681.000000000000000,31.238202399999999,121.561167100000006,3.000000000000000, , 
34405,847959730.000000000000000,31.240535999999999,121.561002400000007,3.000000000000000, , 
34406,847959766.000000000000000,31.242505800000000,121.560327400000006,3.000000000000000, , 
34407,847959958.000000000000000,31.231686600000000,121.564957300000003,3.000000000000000, , 
34408,847965177.000000000000000,31.229328200000001,121.565824300000003,3.000000000000000, , 
34409,847965185.000000000000000,31.222577800000000,121.567594200000002,3.000000000000000, , 
34410,847965197.000000000000000,31.225091800000001,121.566908200000000,3.000000000000000, , 
34411,847965199.000000000000000,31.222584300000001,121.567696900000001,3.000000000000000, , 
34412,847965215.000000000000000,31.224777700000001,121.567271399999996,3.000000000000000, , 
34413,847965226.000000000000000,31.229558300000001,121.566052200000001,3.000000000000000, , 
34414,847965241.000000000000000,31.231342099999999,121.565217599999997,3.000000000000000, , 
34415,847973028.000000000000000,31.203258800000000,121.544994500000001,3.000000000000000, , 
34416,847973041.000000000000000,31.202891300000001,121.545262199999996,3.000000000000000, , 
34417,847973056.000000000000000,31.206167099999998,121.558339799999999,4.000000000000000, , 
34418,847973084.000000000000000,31.199877600000001,121.537963300000001,3.000000000000000, , 
34419,847973097.000000000000000,31.200300400000000,121.540004800000006,3.000000000000000, , 
34420,847990275.000000000000000,31.176840299999999,121.553384300000005,4.000000000000000, , 
34421,847990297.000000000000000,31.174712899999999,121.554439099999996,3.000000000000000, , 
34422,847990307.000000000000000,31.173207900000001,121.555188999999999,4.000000000000000, , 
34423,847990341.000000000000000,31.165266100000000,121.558892400000005,4.000000000000000, , 
34424,847990439.000000000000000,31.190730500000001,121.548303200000007,4.000000000000000, , 
34425,847990502.000000000000000,31.187306800000002,121.549708999999993,4.000000000000000, , 
